state,Total_0-5,Male_0-5,Female_0-5,Total_5-9,Male_5-9,Female_5-9,Total_10-14,Male_10-14,Female_10-14,Total_15-19,Male_15-19,Female_15-19,Total_20-24,Male_20-24,Female_20-24,Total_25-29,Male_25-29,Female_25-29,Total_30-34,Male_30-34,Female_30-34,Total_35-39,Male_35-39,Female_35-39,Total_40-44,Male_40-44,Female_40-44,Total_45-49,Male_45-49,Female_45-49,Total_50-54,Male_50-54,Female_50-54,Total_55-59,Male_55-59,Female_55-59,Total_60-64,Male_60-64,Female_60-64,Total_65-69,Male_65-69,Female_65-69,Total_70-74,Male_70-74,Female_70-74,Total_75-79,Male_75-79,Female_75-79,Total_80-84,Male_80-84,Female_80-84,Total_85+,Male_85+,Female_85+
Alabama,288019,143309,144710,305731,154161,151570,331262,169656,161606,350694,177999,172695,333795,167197,166598,313883,154817,159066,330634,158870,171764,320939,158197,162742,328313,160149,168164,300020,143378,156642,320058,157994,162064,308895,151557,157338,344106,161827,182279,308878,143602,165276,245130,113296,131834,182506,79838,102668,106693,43919,62774,88912,32035,56877
Alaska,45211,24360,20851,48763,25263,23500,51926,26115,25811,43880,25190,18690,49734,28408,21326,55327,29917,25410,56523,28745,27778,57892,31003,26889,52239,27244,24995,41875,22807,19068,40307,21297,19010,39971,20716,19255,46760,24057,22703,36699,18888,17811,29939,15124,14815,20212,9517,10695,8911,4432,4479,7237,2772,4465
Arizona,391142,198924,192218,435723,225378,210345,454506,230042,224464,501122,258363,242759,498597,258218,240379,506283,261367,244916,520705,271047,249658,475102,245022,230080,467226,236596,230630,424460,212790,211670,438405,218268,220137,412511,200473,212038,467831,228408,239423,423759,201481,222278,384473,175346,209127,305244,149214,156030,185157,83251,101906,139098,54484,84614
Arkansas,176908,89183,87725,196519,98454,98065,197772,105233,92539,214564,109934,104630,203715,104130,99585,191200,97089,94111,201994,101299,100695,194099,96521,97578,205080,102009,103071,178181,88114,90067,181169,89836,91333,175535,86852,88683,200090,96859,103231,179624,85050,94574,141606,64106,77500,107556,49829,57727,67237,26976,40261,54883,20727,34156
California,2086820,1067828,1018992,2243195,1145798,1097397,2535289,1303431,1231858,2614940,1338723,1276217,2515300,1291332,1223968,2692007,1370703,1321304,2978622,1527270,1451352,2823039,1461909,1361130,2637271,1336964,1300307,2399749,1208914,1190835,2446253,1224771,1221482,2341362,1171730,1169632,2339427,1147680,1191747,2033126,972085,1061041,1629227,754403,874824,1185754,534707,651047,749307,322770,426537,714505,269680,444825
Colorado,303775,159079,144696,316028,159040,156988,364851,187648,177203,378487,196247,182240,379346,200357,178989,448664,233307,215357,479339,249411,229928,457235,244197,213038,417376,213510,203866,356557,181877,174680,356915,184181,172734,317170,158807,158363,357325,174660,182665,316669,152194,164475,262477,125724,136753,180799,84256,96543,98806,42129,56677,85791,33484,52307
Connecticut,180561,92614,87947,196179,100980,95199,207266,104705,102561,241031,123874,117157,232217,120523,111694,219887,110526,109361,230580,116498,114082,230935,117836,113099,238479,115842,122637,208809,101937,106872,232830,114032,118798,242945,117591,125354,265426,129644,135782,219040,104577,114463,175883,80856,95027,130823,57505,73318,83430,36926,46504,80855,29252,51603
Delaware,54398,26971,27427,55381,28482,26899,63821,31815,32006,65460,33489,31971,61403,31301,30102,57870,28789,29081,67091,33726,33365,63384,29679,33705,65305,33367,31938,54110,25268,28842,61204,29368,31836,65582,31325,34257,76924,35721,41203,69935,31966,37969,62935,29950,32985,40604,17555,23049,24952,11359,13593,21531,8863,12668
District of Columbia,38512,19516,18996,36388,15770,20618,34113,19973,14140,36112,16525,19587,50928,22714,28214,69772,30928,38844,74938,36207,38731,63903,30331,33572,50201,25634,24567,37236,18283,18953,34633,17577,17056,32059,15830,16229,31181,15028,16153,26192,12094,14098,24879,10548,14331,18315,7519,10796,10670,4180,6490,8940,2933,6007
Florida,1122270,577538,544732,1186629,614240,572389,1266208,643510,622698,1328142,678518,649624,1285607,654124,631483,1342235,681252,660983,1472398,743724,728674,1466735,733013,733722,1434863,726357,708506,1332086,658490,673596,1428440,707777,720663,1429660,699667,729993,1597671,762587,835084,1428538,669808,758730,1252984,575305,677679,1031541,479053,552488,657889,286607,371282,546830,225005,321825
