ParkName,UnitCode,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acadia NP,ACAD,2005,10810,11831,18917,59773,110330,275175,468512,519350,321070,207599,37101,11016
Acadia NP,ACAD,2006,13494,12924,21695,59034,120889,244333,476631,506833,330649,249850,33903,13353
Acadia NP,ACAD,2007,12415,11068,19220,61775,132152,273765,461894,544892,371217,263311,41449,9070
Acadia NP,ACAD,2008,10744,11131,17489,53798,125679,263542,470295,514443,319582,246533,32759,9862
Acadia NP,ACAD,2009,9366,9751,19258,59277,129885,244780,457622,586446,399789,258007,44042,9475
Acadia NP,ACAD,2010,10510,13398,26080,57992,169898,286635,545382,627918,431001,289114,36736,9544
Acadia NP,ACAD,2011,10428,9533,19510,58307,132720,297222,559892,583153,387868,270477,34192,11343
Acadia NP,ACAD,2012,11930,12388,22684,59471,157406,309198,539234,574307,391810,302932,38385,11307
Acadia NP,ACAD,2013,11249,9869,20631,47090,133653,315791,555308,617306,400400,94904,41181,7540
Acadia NP,ACAD,2014,10459,10258,17502,57211,153013,338845,561073,638152,418173,313920,31013,13510
Acadia NP,ACAD,2015,12578,10626,18062,63214,187205,359661,606597,666767,479320,344362,48912,13880
Acadia NP,ACAD,2016,17204,16530,28121,94199,217147,445410,696854,735945,570434,412416,55022,14111
Acadia NP,ACAD,2017,15520,14342,20936,85267,222978,476191,743529,762436,595388,507594,53006,12084
Acadia NP,ACAD,2018,11974,12167,23756,72858,249050,499163,759165,767219,600397,488204,40930,12692
Acadia NP,ACAD,2019,8532,9154,20161,68046,226156,490720,756439,759735,603273,436194,46011,12865
Acadia NP,ACAD,2020,12640,13459,28539,55713,103120,201156,493971,681746,500320,480859,76251,21260
Acadia NP,ACAD,2021,20268,16123,38060,110096,324654,661919,782146,795437,667301,557624,81089,14381
Acadia NP,ACAD,2022,10411,13045,22476,105126,327466,603023,791358,785236,697292,521646,70675,22506
Acadia NP,ACAD,2023,15217,15281,30822,102928,340425,566535,767956,774296,643506,541067,66987,14870
Arches NP,ARCH,2005,9894,16168,62843,71709,111718,110517,106555,103403,88218,63626,23813,13206
Arches NP,ARCH,2006,12841,20728,67550,84244,110564,102061,101297,107176,112335,72615,28087,13551
Arches NP,ARCH,2007,10681,15453,63618,90031,111652,109027,112167,106047,120301,77963,30536,12705
Arches NP,ARCH,2008,9095,13435,66408,83695,133195,124451,121038,129843,124268,80194,29604,13569
Arches NP,ARCH,2009,11684,15488,66898,91114,139332,140161,133854,133880,131913,86601,31714,13673
Arches NP,ARCH,2010,8713,11746,57623,93999,135670,151209,145489,139304,138442,89929,29343,12938
Arches NP,ARCH,2011,10182,12932,61950,96537,142251,155481,147426,138600,136246,92728,30863,15562
Arches NP,ARCH,2012,14961,17870,72273,103800,142876,143482,145696,139036,139801,96310,36170,18302
Arches NP,ARCH,2013,11099,16426,73935,108086,149321,154505,156182,147259,143755,57446,43928,20924
Arches NP,ARCH,2014,17038,22559,89841,122186,165379,170286,169844,173416,165222,115545,46940,26511
Arches NP,ARCH,2015,20699,34255,103649,138903,179804,189073,195748,173186,171711,115859,49087,27273
