Name,Height
"Cruise, Tom",5 feet 7 inches
"DiCaprio, Leonardo",6 feet 0 inches
"Downey Jr., Robert",5 feet 8 inches
"Elba, Idris",6 feet 3 inches
"Evans, Chris",6 feet 0 inches
"Freeman, Morgan",6 feet 2 inches
"Gaga, Lady",5 feet 1 inches
"Hathaway, Anne",5 feet 8 inches
"Hemsworth, Chris",6 feet 3 inches
"Holland, Tom",5 feet 8 inches
"Johansson, Scarlett",5 feet 3 inches
"Johnson, Dwayne",6 feet 5 inches
"Jordan, Michael B.",6 feet 0 inches
"Jolie, Angelina",5 feet 6 inches
"Lawrence, Jennifer",5 feet 9 inches
"Lopez, Jennifer",5 feet 5 inches
"Pitt, Brad",5 feet 11 inches
"Robbie, Margot",5 feet 6 inches
"Smith, Will",6 feet 2 inches
"Stone, Emma",5 feet 6 inches
"Streep, Meryl",5 feet 6 inches
"Swift, Taylor",5 feet 11 inches
"Watson, Emma",5 feet 5 inches
